"alpha3","country","date","cases","new_cases","deaths","population","casesPer100k","deathsPer100k","Income group","Continent","Region"
"JPN","Japan",2020-01-22,2,2,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-22,1,1,0,649000,0.2,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-22,547,547,17,1439324000,0,0,"Upper middle income","Asia","Eastern Asia"
"KOR","Republic of Korea",2020-01-22,1,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"TWN","Taiwan",2020-01-22,1,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-22,2,2,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-22,1,1,0,331003000,0,0,"High income","North America","Northern America"
"HKG","Hong Kong",2020-01-23,2,2,0,7497000,0,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-23,2,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-23,2,1,0,649000,0.3,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-23,639,92,18,1439324000,0,0,"Upper middle income","Asia","Eastern Asia"
"KOR","Republic of Korea",2020-01-23,1,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-23,1,1,0,5850000,0,0,"High income","Asia","South-eastern Asia"
"TWN","Taiwan",2020-01-23,1,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-23,3,1,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-23,1,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-23,2,2,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"FRA","France",2020-01-24,2,2,0,65274000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-24,2,0,0,7497000,0,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-24,2,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-24,2,0,0,649000,0.3,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-24,916,277,26,1439324000,0.1,0,"Upper middle income","Asia","Eastern Asia"
"KOR","Republic of Korea",2020-01-24,2,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-24,3,2,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"TWN","Taiwan",2020-01-24,3,2,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-24,5,2,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-24,2,1,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-24,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"FRA","France",2020-01-25,3,1,0,65274000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-25,5,3,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-25,2,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-25,2,0,0,649000,0.3,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-25,1399,483,42,1439324000,0.1,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-25,3,3,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-25,1,1,0,29137000,0,0,"Low income","Asia","Southern Asia"
"KOR","Republic of Korea",2020-01-25,2,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-25,3,0,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"TWN","Taiwan",2020-01-25,3,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-25,7,2,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-25,2,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-25,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-26,4,4,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"CAN","Canada",2020-01-26,1,1,0,37742000,0,0,"High income","North America","Northern America"
"FRA","France",2020-01-26,3,0,0,65274000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-26,8,3,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-26,4,2,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-26,5,3,0,649000,0.8,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-26,2062,663,56,1439324000,0.1,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-26,4,1,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-26,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"KOR","Republic of Korea",2020-01-26,3,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-26,4,1,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"TWN","Taiwan",2020-01-26,4,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-26,8,1,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-26,5,3,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-26,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-27,5,1,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-01-27,1,1,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-01-27,1,0,0,37742000,0,0,"High income","North America","Northern America"
"FRA","France",2020-01-27,3,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-01-27,1,1,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-27,8,0,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-27,4,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-27,6,1,0,649000,0.9,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-27,2863,801,82,1439324000,0.2,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-27,4,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-27,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"KOR","Republic of Korea",2020-01-27,4,1,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-27,5,1,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"LKA","Sri Lanka",2020-01-27,1,1,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"TWN","Taiwan",2020-01-27,5,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-27,8,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-27,5,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-27,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-28,5,0,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-01-28,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-01-28,2,1,0,37742000,0,0,"High income","North America","Northern America"
"FRA","France",2020-01-28,4,1,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-01-28,4,3,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-28,8,0,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-28,7,3,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-28,7,1,0,649000,1.1,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-28,5494,2631,131,1439324000,0.4,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-28,4,0,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-28,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"KOR","Republic of Korea",2020-01-28,4,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-28,7,2,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"LKA","Sri Lanka",2020-01-28,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"TWN","Taiwan",2020-01-28,8,3,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-28,14,6,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"USA","USA",2020-01-28,5,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-28,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-29,6,1,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-01-29,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-01-29,2,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-01-29,1,1,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-01-29,5,1,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-01-29,4,0,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-29,10,2,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"JPN","Japan",2020-01-29,7,0,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-29,7,0,0,649000,1.1,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-29,6070,576,133,1439324000,0.4,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-29,7,3,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-29,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"KOR","Republic of Korea",2020-01-29,4,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-29,7,0,0,5850000,0.1,0,"High income","Asia","South-eastern Asia"
"LKA","Sri Lanka",2020-01-29,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"TWN","Taiwan",2020-01-29,8,0,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-29,14,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"ARE","United Arab Emirates",2020-01-29,4,4,0,9890000,0,0,"High income","Asia","Western Asia"
"USA","USA",2020-01-29,5,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-29,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-30,9,3,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-01-30,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-01-30,2,0,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-01-30,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-01-30,5,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-01-30,4,0,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-30,10,0,0,7497000,0.1,0,"High income","Asia","Eastern Asia"
"IND","India",2020-01-30,1,1,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"JPN","Japan",2020-01-30,11,4,0,126476000,0,0,"High income","Asia","Eastern Asia"
"MAC","Macao",2020-01-30,7,0,0,649000,1.1,0,"High income","Asia","Eastern Asia"
"CHN","Mainland China",2020-01-30,8124,2054,171,1439324000,0.6,0,"Upper middle income","Asia","Eastern Asia"
"MYS","Malaysia",2020-01-30,8,1,0,32366000,0,0,"Upper middle income","Asia","South-eastern Asia"
"NPL","Nepal",2020-01-30,1,0,0,29137000,0,0,"Low income","Asia","Southern Asia"
"PHL","Philippines",2020-01-30,1,1,0,109581000,0,0,"Lower middle income","Asia","South-eastern Asia"
"KOR","Republic of Korea",2020-01-30,4,0,0,51269000,0,0,"High income","Asia","Eastern Asia"
"SGP","Singapore",2020-01-30,10,3,0,5850000,0.2,0,"High income","Asia","South-eastern Asia"
"LKA","Sri Lanka",2020-01-30,1,0,0,21413000,0,0,"Upper middle income","Asia","Southern Asia"
"TWN","Taiwan",2020-01-30,9,1,0,23817000,0,0,"High income","Asia","Eastern Asia"
"THA","Thailand",2020-01-30,14,0,0,69800000,0,0,"Upper middle income","Asia","South-eastern Asia"
"ARE","United Arab Emirates",2020-01-30,4,0,0,9890000,0,0,"High income","Asia","Western Asia"
"USA","USA",2020-01-30,5,0,0,331003000,0,0,"High income","North America","Northern America"
"VNM","Vietnam",2020-01-30,2,0,0,97339000,0,0,"Lower middle income","Asia","South-eastern Asia"
"AUS","Australia",2020-01-31,9,0,0,25500000,0,0,"High income","Oceania","Australia and New Zealand"
"KHM","Cambodia",2020-01-31,1,0,0,16719000,0,0,"Lower middle income","Asia","South-eastern Asia"
"CAN","Canada",2020-01-31,4,2,0,37742000,0,0,"High income","North America","Northern America"
"FIN","Finland",2020-01-31,1,0,0,5541000,0,0,"High income","Europe","Northern Europe"
"FRA","France",2020-01-31,5,0,0,65274000,0,0,"High income","Europe","Western Europe"
"DEU","Germany",2020-01-31,5,1,0,83784000,0,0,"High income","Europe","Western Europe"
"HKG","Hong Kong",2020-01-31,12,2,0,7497000,0.2,0,"High income","Asia","Eastern Asia"
"IND","India",2020-01-31,1,0,0,1380004000,0,0,"Lower middle income","Asia","Southern Asia"
"ITA","Italy",2020-01-31,2,2,0,60462000,0,0,"High income","Europe","Southern Europe"
